source,target,weight
125,183,2
141,183,2
111,183,3
107,183,1
125,141,3
111,125,2
107,125,1
111,141,2
107,141,2
107,111,1
141,181,1
110,181,1
119,181,4
29,181,1
110,141,3
119,141,4
29,141,3
110,119,3
29,110,1
29,119,2
112,138,2
138,178,2
15,138,1
138,162,2
112,178,1
15,112,3
112,162,1
15,178,1
162,178,1
15,162,1
114,174,1
135,174,2
98,174,1
174,190,1
114,135,2
98,114,1
114,190,1
98,135,1
135,190,1
98,190,1
114,176,3
134,176,2
152,176,1
145,176,1
114,134,2
114,152,2
114,145,1
134,152,1
134,145,1
145,152,1
111,181,4
3,181,2
93,181,1
118,181,1
3,111,3
93,111,1
111,118,1
3,93,1
3,118,1
93,118,1
41,180,2
41,95,1
41,115,1
12,41,1
95,180,1
115,180,1
12,180,2
95,115,1
12,95,1
12,115,3
21,180,1
21,177,1
21,41,1
19,21,1
177,180,1
19,180,2
41,177,2
19,177,1
19,41,2
0,35,2
35,125,1
35,70,1
35,82,1
0,125,3
0,70,1
0,82,1
70,125,1
82,125,1
70,82,1
0,112,4
0,140,1
0,85,1
0,183,1
112,140,3
85,112,2
112,183,1
85,140,2
140,183,1
85,183,1
107,158,1
141,158,2
135,158,1
29,158,1
107,135,1
29,107,1
135,141,2
29,135,1
12,176,1
12,110,1
12,15,2
12,70,1
110,176,2
15,176,2
70,176,1
15,110,1
70,110,2
15,70,1
111,119,3
119,183,1
119,174,2
119,125,7
111,174,1
174,183,1
125,174,2
3,113,1
113,140,1
81,113,1
113,115,1
3,140,1
3,81,1
3,115,2
81,140,1
115,140,1
81,115,1
38,181,4
114,181,5
50,181,2
138,181,1
38,114,5
38,50,1
38,138,1
50,114,1
114,138,1
50,138,2
54,111,1
54,180,1
15,54,1
54,81,1
111,180,1
15,111,5
81,111,1
15,180,2
81,180,1
15,81,1
112,180,1
140,180,1
12,112,1
12,140,1
15,140,1
114,125,4
4,125,1
125,134,1
0,114,1
4,114,1
0,4,1
0,134,1
4,134,1
141,174,1
70,141,1
110,158,1
110,174,3
158,174,1
70,158,1
70,174,1
111,176,1
111,134,1
3,15,1
15,134,2
3,176,1
3,134,1
41,112,1
41,81,1
41,138,1
112,177,1
81,112,1
81,177,1
138,177,1
81,138,1
38,119,1
114,119,3
38,125,1
125,181,2
0,115,2
115,125,1
115,119,1
0,12,2
12,125,1
12,119,1
0,119,2
110,138,1
125,138,2
138,180,1
110,125,2
110,180,1
110,162,1
125,180,1
125,162,1
162,180,1
19,56,1
3,56,1
56,180,1
56,114,1
3,19,1
19,114,2
3,180,1
3,114,1
114,180,1
113,119,1
113,141,1
29,113,1
113,125,3
29,125,1
0,41,3
15,41,2
41,111,2
0,0,4
0,15,2
0,111,4
112,176,1
112,135,1
38,112,2
112,174,2
135,176,2
38,176,3
174,176,2
38,135,2
38,174,1
38,140,1
140,181,1
176,181,1
114,140,1
140,176,2
112,119,1
119,140,2
85,119,1
112,141,1
140,141,1
85,141,1
50,111,1
15,50,2
50,119,1
15,181,2
15,119,1
54,110,1
0,54,1
54,178,1
54,174,2
0,110,1
110,178,1
0,178,3
0,174,1
174,178,1
112,158,1
54,158,1
3,158,1
38,158,1
54,112,1
3,112,1
3,54,2
38,54,1
3,38,1
41,125,3
19,125,2
41,114,2
41,119,3
19,119,1
138,141,1
141,178,1
111,138,1
138,183,1
111,178,2
178,183,1
41,113,1
41,174,1
15,113,1
113,174,1
15,174,2
15,125,1
12,14,1
12,50,1
0,14,2
0,50,1
14,115,2
14,50,1
50,115,1
50,112,1
112,134,1
50,174,1
134,174,1
50,134,1
38,141,1
141,176,1
114,141,1
14,111,1
3,14,2
14,181,1
0,3,1
0,181,1
119,176,1
110,140,1
140,174,1
41,178,1
119,178,1
115,174,1
54,115,1
3,174,1
14,174,1
14,54,1
38,178,1
38,113,1
0,38,1
35,38,1
113,178,1
35,178,1
0,113,1
35,113,1
41,181,1
56,181,1
56,173,1
56,111,1
15,56,1
173,181,1
111,173,1
15,173,1
3,110,1
3,125,1
3,119,1
3,141,1
112,118,1
0,118,3
38,152,1
152,181,1
113,138,1
19,113,1
50,113,1
19,138,1
19,50,1
50,125,1
